cnt,OPENDATA_ID,GNG_CS,FD_CS,BZ_NM,TLNO,MBZ_HR,SEAT_CNT,PKPL,HP,PSB_FRN,BKN_YN,INFN_FCL,BRFT_YN,DSSRT_YN,MNU,SMPL_DESC,SBW,BUS
14,1785,대구광역시 중구 공평동 1-1,양식,오일리버거,053-213-0512,"11:00 ~ 21:00 (금,토 11:00 ~ 22:00)",18석,"공영주차장,가까운유료주차장이용",www.instagram.com/oilyburger/,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"오일리버거 8,000원<br />쉬림프버거 8,500원<br />트로피컬버거 8,500원<br />에그해쉬버거 9,000원",오일리버거 는 빠르고 간편한 패스트푸드의 본질은 유지하면서 신선한 식재료들만으로 구성하여 안심하고 먹을 수 있는 건강한 프리미엄 수제버거 전문점입니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 452m 거리.,버스 정류장은 2.28기념중앙공원건너2 정류장이 가장 가깝습니다.
15,1784,대구광역시 중구 공평동 82-3,디저트/베이커리,팜테이블,053- 256-7436,12:30 ~ 22:00,46석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"수플레 팬케이크 11,000원 <br />커스터드크림 팬케이크 14,000원 <br />과일 수플레 팬케이크 16,000원 <br />플레인 팬케이크 12,000원",팜테이블 은 여러 가지의 팬케이크를 한국식으로 풀어낸 한국 최초의 팬케이크 전문점입니다.,지하철 1호선 중앙로역 2번 출구에서 약 678m 거리.,버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.
16,1783,대구광역시 중구 공평동 10-2,한식,동아식당,010-****-1017,11:30 ~ 21:00,12석,없음(유료주차장),www.instagram.com/dongah__,가능한 외국어가 없습니다.,불가,불가능,불가능,불가능,"계란김밥 8,000원<br />고등어국수 11,000원<br />된장비빔면 9,500원 <br />김치볶음밥 9,500원",동아식당은 익숙함을 바라보는 새로운 관점이라는 메시지 아래에서 경상도의 지역성과 계절성을 이곳만의 시각으로 퓨전 한식을 담고 있습니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 481m 거리.,버스 정류장은 대구시동인청사건너 정류장이 가장 가깝습니다.
17,1772,대구광역시 중구 봉산동 35-96,디저트/베이커리,빠다롤뺑프랑스,053-424-2025,09:00 ~ 22:00,없음,없음(인근유료주차장이용),www.instagram.com/bbadalol,영어 ,가능,불가능,불가능,불가능,"마늘바게트 6,700원<br />딸기식빵 5,500원<br />빠다롤(대) 7,700원<br />아메리카노 3,000원",빠다롤뺑프랑스 는 화학 재료를 사용하지 않고 발효배양액종 을 사용해 건강한 빵을 만들고 있는 베이커리 전문점입니다.,"지하철 1호선, 2호선 반월당역 10번 출구에서 도보로 약 157m 거리.",버스 정류장은 2호선반월당역1 정류장이 가장 가깝습니다.
18,1767,대구광역시 중구 봉산동 220-47,한식,편밀밀,0507-1389-3848,10:00 ~ 22:00,20석,없음,www.nabjack.com,영어 ,가능,불가능,불가능,불가능,"편밀밀 라자냐 9,500원 <br />편밀밀 어항가지 납작만두 13,000원 <br />편밀밀 부추절이 납작만두 8,000원<br />",편밀밀 은 1998년 대구 칠성시장 에서부터 한병규 장인의 손으로 만들어온 납작만두 를 활용해 만들어진 납작만두 요리 전문점입니다.,"지하철 1,2호선 반월당역 9번 출구에서 보도로 약 464m 거리.",버스 정류장은 봉산가구골목(서편) 정류장이 가장 가깝습니다.
19,1732,대구광역시 중구 동인동2가 61-10,한식,모두국밥,0507-1308-1567,07:00 ~ 21:00,48석(룸1개),없음,없음,가능한 외국어가 없습니다.,가능,불가능,가능,가능,"순대국 8,000원 <br />뼈해장국 8,000원 <br />순대정식 11,000원<br />",모두국밥 은 한국인의 입맛에 맞춘 푸짐한 한 끼의 국밥을 남녀노소 모두 좋아할 수 있는 브랜드로 발전 시켜온 국밥 전문점입니다.,지하철 1호선 칠성시장역 3번 출구에서 도보로 약 738m 거리.,버스 정류장은 동인치안센터건너 정류장이 가장 가깝습니다.
20,1694,대구광역시 중구 삼덕동2가 219-1,한식,송림식당,053-424-3838,11:00 ~ 20:00,80석,9대,없음,영어 ,가능,불가능,불가능,가능,"복어매운탕/지리 9,000원<br />밀복매운탕/지리 12,000원<br />복어수육 45,000원<br />모듬회 20,000원<br />껍질무침 15,000원",송림복어 는 50년 이상 전통의 복어 요리 전문점입니다.,지하철 2호선 경대벽원역 4번 출구에서 도보로 약 232m 거리.,버스 정류장은 경북대학교병원앞 정류장이 가장 가깝습니다.
21,1691,대구광역시 중구 삼덕동1가 21-10,양식,빈플러스 테이스팅 스푼(TASTING SPOON),053-424-5925,10:00 ~ 22:00,22석,유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"스테이크 고추오일파스타 15,000원<br />로제새우파스타 15,000원<br />맛간장 불고기오일파스타 15,000원<br />",테이스팅 스푼(TASTING SPOON) 은 저렴한 가격에 스테이크와 파스타를 즐길 수 있는 가성비 좋은 양식 전문점입니다.,"지하철 1,2호선 반월당역 10번 출구에서 도보로 약 528m 거리.",버스 정류장은 삼덕성당앞 정류장이 가장 가깝습니다.
22,1688,대구광역시 중구 동성로2가 70-1,한식,중앙떡볶이,053-424-7692,11:30 ~ 19:00,50석,없음(인근유료주차장이용),없음,가능한 외국어가 없습니다.,불가능,불가능,불가능,불가능,"쌀떡볶이+납작만두 (섞어 1인분)  4,000원<br />쌀떡볶이 4,000원<br />납작만두 4,000원<br />순대 4,000원",30년 이상 한 자리를 지켜온 동성로의 명물 박석규 중앙떡볶이 쌀로 만든 떡볶이와 납작만두가 별미인 분식점입니다.,지하철 1호선 중앙로역 2번 출구에서 도보로 약 365m,버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.
23,1661,대구광역시 중구 대봉동 31-67,양식,가스트로락,053-281-5959,11:30 ~ 22:00 (브레이크 타임 15:00 ~ 18:00),24석,"김광석길공영주차장(식사비에서2,000원할인)",없음,영어 ,가능,불가능,불가능,가능,"런치코스 33,000원 ~ 39,000원<br />디너코스 49,000원 ~ 69,000원",100% 핸드메이드로 모든 음식을 직접 만들고 가성비 좋은 유러피안 레스토랑입니다.,지하철 2호선 경대병원역  3번 출구에서 도보로 약 544m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
24,1648,대구광역시 중구 삼덕동1가 14-3,세계요리,차이,053-254-3965,12:00 ~ 22:00 (브레이크타임 15:30 ~ 17:00),26석,없음(인근유료주차장이용),instagram.com/chai_daegu,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"팟타이 15,000원<br />아시안슈림프라이스 17,000원<br />팟씨유(치킨) 15,000원 <br />로제 가츠돈 14,000원 <br />",차이 는 미들급 다이닝을 지향하는 태국 요리 및 일본 요리 등 아시안 퓨전 음식 전문점입니다.,"지하철 1호선, 2호선 반월당역 10번 출구에서 도보로 약 323m 거리.",버스 정류장은 2호선반월당역1 정류장이 가장 가깝습니다.
25,1647,대구광역시 중구 종로2가 1,일식,종로횟집,053-252-5858,11:00~01:00 (브레이크 타임 14:30~16:30),100석,없음(인근유료주차장이용),없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"모듬회(소) 55,000원<br />방어회(소) 60,000원<br />모듬해물 35,000원 <br />","종로횟집 은 신선한 해산물과 회, 물회가 유명한 이자카야 횟집입니다.",지하철 1호선 중앙로역 1번 출구에서 도보로 약 231m 거리.,버스 정류장은 만경관건너 정류장이 가장 가깝습니다.
26,1627,대구광역시 중구 남성로 102-1,일식,스시준,053-219-1916,11:30~20:30 (브레이크 타임 15:00 ~ 17:00),26석,없음,없음,가능한 외국어가 없습니다.,불가능,불가능,불가능,불가능,"스시준스시A 16,000원<br />스시준스시B 16,000원<br />연어세트 16,000원<br />",스시준 은 연어초밥으로 유명한 초밥 전문점입니다.,"지하철 1호선, 2호선 반월당역 17번 출구에서 도보로 약 160m 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
27,1626,대구광역시 중구 종로2가 90,한식,미조찜탕,053-257-1353,10:00 ~ 22:00,60석(룸5),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"동태탕 9,000원<br />가오리찜 25,000원 ~ 35,000원<br />부추전 8,000원",미조찜.탕은 동태탕과 각종 찜 종류가 유명한 탕.찜 전문점입니다.,"지하철 1호선, 2호선 반월당역 15번 출구에서 도보로 약 184m 거리",버스 정류장은 약령시건너(동성로입구) 정류장이 가장 가깝습니다.
28,1624,대구광역시 중구 남산동 2111-4,한식,세연전통콩국,053-257-9915,10:00 ~ 03:00,68석,없음(공영주차장유료),blog.naver.com/emailforyou,영어 중국어 ,불가,불가능,불가능,불가능,"콩국 5,000원<br />돈까스 8,000원<br />잔치국수 5,000원<br />검은콩국수 7,500원<br />옛날토스트 3,500원",20년 전통을 자랑하는 세연전통콩국 은 건강한 음식을 저렴하게 맛볼 수 있는 음식점입니다.,"지하철 1호선, 3호선 명덕역 1번 출구에서 도보로 약 126m 거리.",버스 정류장은 명덕초등학교앞 정류장이 가장 가깝습니다.
29,1623,대구광역시 중구 남산동 939-1,한식,정담(정성을 담은),053-253-5263,11:00 ~ 21:30,64석(룸3),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"정담정식 15,000원 <br />돼지갈비찜 48,000원<br />코다리찜 50,000원<br />",정담 은 정성을 담은 음식을 대접하고 싶은 오너 셰프의 마음이 담긴 우리 고유의 전통 방식으로 음식을 조리하는 한정식 전문점입니다.,"지하철 1호선, 2호선 반월당역 19번 출구에서 도보로 약 164m 거리.",버스 정류장은 현대백화점.동화백화점건너 정류장이 가장 가깝습니다.
30,1622,대구광역시 중구 종로2가 2-2,한식,미금수뿔,010-****-2854,16:00 ~ 02:00,50석,없음(인근유료주차장이용),없음,영어 일본어 중국어 ,가능,불가능,불가능,불가능,"미식가용 삼겹살 9,800원 <br />항정살 9,800원 <br />가브리살 9,800원 <br />삼겹살 9,500원<br />",미금수뿔 은 돼지고기 전문점으로 최상의 품질인 고기만 엄선하여 판매하고 있는 음식점입니다.,"지하철은 1호선, 2호선 반월당역 15번 출구에서 약 252m 거리.",버스 정류장은 만경관건너 정류장이 가장 가깝습니다.
31,1621,대구광역시 중구 남성로 103-2,한식,거송갈비찜,053-424-3335,11:00 ~ 21:00,18석,없음(인근유료주차장이용),없음,영어 일본어 중국어 ,가능,불가능,불가능,가능,"소갈비찜(1인분) 19,000원 <br />돼지갈비찜(1인분) 12,000원 <br />냉면 9,000원 <br />",거송갈비찜은 엄선된 질 좋은 돼지고기 립을 대구 약전골목 전통한방 약재를 넣어 숙성시킨 후 비법 소스를 듬뿍 넣어 부드럽고 매콤하게 만든 갈비찜 전문점입니다.,"지하철 1호선, 2호선 반월당역 17번 출구에서 도보로 약 201m 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
32,1620,대구광역시 중구 남산동 253-1,중식,유창반점,053-254-7297,11:00 ~ 20:00,45석,없음(인근유료주차장이용),없음,중국어 ,불가,불가능,불가능,불가능,"중화비빔밥 8,000원<br />중화비빔면 8,000원<br />짬뽕 8,000원<br />탕수육 12,000원 ~ 30,000원",유창반점 은 중구 남산동에 위치한 짬뽕과 중화비빔밥이 유명한 중국집입니다.,"지하철 1호선, 2호선 반월당역 19번 출구에서 도보로 약 364m 거리.",버스 정류장은 남산2동주민센터건너 정류장이 가장 가깝습니다.
33,1618,대구광역시 중구 봉산동 35-62,일식,도마29,053-216-1129,11:00 ~ 21:00 (브레이크타임 15:30 ~ 17:00),23석,없음(인근유료주차장이용),없음,영어 중국어 ,불가,불가능,불가능,불가능,"연어초밥 16,000원 <br />모듬초밥 12,000원 <br />흐트러진덮밥 12,000원 <br />연어샐러드 9,000원 <br />사케동 13,000웜<br />","도마29 는 동성로 [통신골목] 인근에 위치한 초밥 전문점으로 덮밥, 샐러드 등 다양한 일본 요리를 즐기실 수 있습니다.","지하철 1호선, 2호선 반월당역 10번 출구에서 도보로 약 119m 거리.",버스 정류장은 2호선반월당역1 정류장이 가장 가깝습니다.
34,1617,대구광역시 중구 동산동 125,디저트/베이커리,빵장수단팥빵,053-423-0088,09:00 ~ 22:00,없음,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"생크림 단팥빵 2,800원<br />통단팥빵 2,300원<br />무설탕 단팥빵 2,500원<br />녹차 크림치즈 2,500원",빵장수단팥빵 은 프로 제빵왕인 이곳의 오너 셰프가 어린 시절 할머니가 사주던 단팥빵 맛을 잊지 못해 시작하게 된 단팥빵 전문점입니다.,지하철 3호선 서문시장역 1번 출구에서 도보로 약 285m 거리.,버스 정류장은 섬유회관앞 정류장이 가장 가깝습니다.
35,1616,대구광역시 중구 계산동2가 17,한식,다금예전칼국수,053-255-1515,11:00 ~ 21:00,100석(룸1),5대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"영양칼국수 8,000원<br />찹쌀수제비 9,000원<br />명태찜(코다리) 24,000원",오랜 전통을 자랑하는 다금예전칼국수 는  시내에서 먹거리 음식이 많지 않던 시절부터 지금까지 사람들의 쉼터 역할을 하고 있는 칼국수 전문점입니다.,지하철 3호선 서문시장역 1번 출구에서 도보로 약 445m 거리.,버스 정류장은 섬유회관건너2 정류장이 가장 가깝습니다.
36,1614,대구광역시 중구 동인동4가 467-1,한식,김해통닭,053-427-6940,11:30 ~ 23:00 (수요일 11:30 ~ 16:00),40석,노상주차,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"닭불고기 18,000원<br />닭똥집 7,000원 ~ 12,000원<br />통닭(양념, 간장, 후라이드) 16,000원<br />",44년 이상 전통을 자랑하는 김해통닭 은 닭불고기라는 특별한 메뉴를 판매하고 있는 닭 요리 전문점입니다.,지하철 1호선 신천역 3번 출구에서 도보로 약 1142m 거리.,버스 정류장은 동인초등학교건너 정류장이 가장 가깝습니다.
37,1613,대구광역시 중구 남성로 48-1,세계요리,삐에뜨라,053-742-4819,12:00 ~ 21:30,36석(룸1),없음(인근유료주차장이용),blog.naver.com/pietra2013,영어 ,가능,불가능,불가능,가능,"감자뇨끼 22,000원<br />마르게리타 피자 20,000원<br />안심스테이크 53,000원<br />",삐에뜨라 (Pietra) 는 이태리어로 단단한 돌을 의미를 담아 탄생하게 된 이탈리안 레스토랑입니다.,"지하철 1호선, 2호선 반월당역 18번 출구에서 도보로 약 392m 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
38,1612,대구광역시 중구 계산동2가 171,전통차/커피전문점,라미아에밀리 ( La mia emily ),053-256-8282,11:00 ~ 22:00,132석,없음(유료주차장),없음,영어 중국어 ,가능,불가능,불가능,불가능,"에밀리 브런치 세트 14,500원 <br />가지덮밥 14,000원  <br />쉬림프 루꼴라 피자 18,000원 <br />",“라 미아 에밀리” 는 한국의 전통적인 미를 살린 한옥을 배경으로 한 뷰가 이쁜 카페입니다.,"지하철 1호선, 2호선 반월당역 18번 출구에서 도보로 약 206m",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
39,1611,대구광역시 중구 남성로 82,한식,더메밀,053-753-4321,11:30 ~ 20:30 (브레이크타임 15:30 ~ 17:00),40석,없음(공영주차장유료),없음,영어 ,가능,불가능,불가능,불가능,"메밀묵밥 9,000원<br />메밀칼국수 9,000원<br />메밀버섯전 11,000원<br />보쌈 38,000원 <br />훈제 오리 수육 30,000원",더메밀 은 매일 직접 만드는 첨가물이 전혀 없는 메밀 요리를 즐길 수 있는 곳으로 경상도 지역의 전통 음식을 맛볼 수 있는 메밀 요리 전문점입니다.,"지하철 1호선, 2호선 반월당역 18번 출구에서 도보로 약 467m 거리.",버스 정류장은 매일신문사앞 정류장이 가장 가깝습니다.
40,1610,대구광역시 중구 삼덕동3가 217-5,세계요리,멘타와이,053-252-1305,11:00 ~ 21:00 (브레이크타임 15:00~17:00),24석,없음,없음,영어 ,가능,불가능,불가능,불가능,"차돌쌀국수 10,000원<br />나시고랭 10,000원<br />팟타이 10,000원<br />분짜 14,000원",멘타와이 는 깔끔하고 세련된 인테리어 그리고 청결한 오픈 주방이 한눈에 보이는 동남아 음식 전문점입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 756m,버스 정류장은 방천시장(김광석길)건너 정류장이 가장 가깝습니다.
41,1609,대구광역시 중구 대봉동 7-6,특별한 술집,대도양조장,053-352-2345,15:00 ~ 14:00,150석,20대,없음,영어 ,가능,불가능,불가능,불가능,"감바스 19,000원<br />슈바인학세 36,000원<br />페퍼로니피자 17,000원 <br />",대도양조장 은 대구의 대표 관광지 ‘김광석 길’에 위치한 브루 펍(브루어리+펍)입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 435m,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
42,1607,대구광역시 중구 시장북로 79-2,한식,대림가든,053-522-1822,11:30 ~ 20:00,54석(룸4),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"곤드레밥 촌된장 12,000원<br />장어탕(시세)<br />고등어구이 정식 13,000원",대림가든 은 전통 방식으로 만든 민물 장어탕과 다양한 한식을 즐길 수 있는 한식 전문점입니다.,지하철 3호선 서문시장역 2번 출구에서 도보로 약 319m,버스 정류장은 달성공원건너 정류장이 가장 가깝습니다.
43,1606,대구광역시 중구 남산동 464,한식,토담집,053-255-3257,10:00 ~ 22:00,40석,유료주차장,없음,영어 ,가능,불가능,불가능,가능,"시래기 코다리찜 13,000원<br />갈치찌개 17,000원<br />갈치구이 17,000원<br />고추장 불고기 9,000원",토담집 은 다양한 한식을 집 밥처럼 즐길 수 있는 한식 전문점입니다.,"지하철 1호선, 2호선 반월당역 19번 출구에서 도보로 약 151m",버스 정류장은 현대백화점.동아쇼핑건너 정류장이 가장 가깝습니다.
44,1605,대구광역시 중구 남산동 2118-2,한식,제일콩국,053-253-4863,07:30 ~ 23:00,50석,30대,없음,영어 일본어 중국어 ,가능,불가능,가능,불가능,"제일콩국 5,000원<br />토스트 4,000원<br />돈까스 9,000원",제일콩국 은 간단한 식사나 간식으로 먹기에 좋은 콩국과 토 스트를 먹을 수 있는 음식점입니다.,지하철 3호선 남산역 2번 출구에서 도보로 약 270m,버스 정류장은 명덕초등학교앞 정류장이 가장 가깝습니다.
45,1604,대구광역시 중구 동산동 108,한식,동해식당,053-253-6037,10:00 ~ 20:00,32석(룸1),유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"동태탕 8,000원 <br />갈치찌개(2인분) 18,000원 <br />비빔밥/된장찌개/청국장 각 7,000원 <br />코다리찜 30,000원 ~ 35,000원<br />","고향 어머니의 손맛으로 정갈하게 마련한 한식(비빔밥, 청국장, 동태탕, 코다리찜 등)을 맛볼 수 있는 음식점입니다.",지하철 3호선 서문시장역 1번 출구에서 도보로 약 294m,버스 정류장은 섬유회관앞 정류장이 가장 가깝습니다.
46,1603,대구광역시 중구 공평동 56-4,한식,팔공막창투,053-426-4333,11:00 ~ 01:00,35석,주변유료주차장,없음,영어 일본어 중국어 ,가능,불가능,불가능,가능,"팔공막창 9,000원<br />생막창 9,000원<br />삼겹살 9,000원<br />불닭발 9,000원",팔공막창 은 특제 양념으로 숙성한 막창과 포장마차 같은 소박한 분위기에서 막창을 제대로 즐기실 수 있습니다.,지하철 1호선 중앙로역 2번 출구 도보로 약 465m,버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.
